,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
0,1,0,AIR,3,0,999,1663,196,1730,228,1663|1663|1663,196|196|196,1730|1730|1730,228|228|228,0,32,32,0,True,False,9,False,1,0,0,0,False,B-Invoice_VendorAddressRecipient
1,1,1,CHILL,5,4,99999,1739,195,1842,228,1739|1739|1739|1739|1739,195|195|195|195|195,1842|1842|1842|1842|1842,228|228|228|228|228,9,33,33,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
2,1,2,SYSTEMS,7,10,9999999,1851,195,2025,228,1851|1851|1851|1851|1851|1851|1851,195|195|195|195|195|195|195,2025|2025|2025|2025|2025|2025|2025,228|228|228|228|228|228|228,9,33,33,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
3,2,0,"20-21,",6,0,999999,1267,249,1374,285,1267|1267|1267|1267|1267|1267,249|249|249|249|249|249,1374|1374|1374|1374|1374|1374,285|285|285|285|285|285,0,36,36,0,False,True,9,False,1,0,4,0,False,B-Invoice_VendorAddress
4,2,1,BLOCK,5,7,99999,1386,250,1498,280,1386|1386|1386|1386|1386,250|250|250|250|250,1498|1498|1498|1498|1498,280|280|280|280|280,12,30,30,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
5,2,2,"""B"",",4,13,9999,1508,248,1571,284,1508|1508|1508|1508,248|248|248|248,1571|1571|1571|1571,284|284|284|284,10,36,36,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddress
6,2,3,2ND,3,18,999,1584,250,1657,280,1584|1584|1584,250|250|250,1657|1657|1657,280|280|280,13,30,30,0,False,False,9,False,1,0,1,0,False,I-Invoice_VendorAddress
7,2,4,"FLOOR,",6,22,999999,1668,249,1788,285,1668|1668|1668|1668|1668|1668,249|249|249|249|249|249,1788|1788|1788|1788|1788|1788,285|285|285|285|285|285,11,36,36,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddress
8,2,5,SIGNET,6,29,999999,1799,249,1923,280,1799|1799|1799|1799|1799|1799,249|249|249|249|249|249,1923|1923|1923|1923|1923|1923,280|280|280|280|280|280,11,31,31,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
9,2,6,"PLAZA,",6,36,999999,1932,249,2045,284,1932|1932|1932|1932|1932|1932,249|249|249|249|249|249,2045|2045|2045|2045|2045|2045,284|284|284|284|284|284,9,35,35,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddress
10,2,7,KUNAL,5,43,99999,2046,248,2161,281,2046|2046|2046|2046|2046,248|248|248|248|248,2161|2161|2161|2161|2161,281|281|281|281|281,1,33,33,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
11,2,8,CROSS,5,49,99999,2173,249,2282,278,2173|2173|2173|2173|2173,249|249|249|249|249,2282|2282|2282|2282|2282,278|278|278|278|278,12,29,29,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
12,2,9,"ROADS,",6,55,999999,2293,249,2419,283,2293|2293|2293|2293|2293|2293,249|249|249|249|249|249,2419|2419|2419|2419|2419|2419,283|283|283|283|283|283,11,34,34,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddress
13,2,10,079499,6,62,999999,2942,222,3215,287,2942|2942|2942|2942|2942|2942,222|222|222|222|222|222,3215|3215|3215|3215|3215|3215,287|287|287|287|287|287,523,65,65,0,False,False,9,False,1,0,6,1,True,O
14,3,0,ARUNACHAL,9,0,999999999,1242,300,1457,329,1242|1242|1242|1242|1242|1242|1242|1242|1242,300|300|300|300|300|300|300|300|300,1457|1457|1457|1457|1457|1457|1457|1457|1457,329|329|329|329|329|329|329|329|329,0,29,29,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
15,3,1,GOTRI,5,10,99999,1468,299,1573,329,1468|1468|1468|1468|1468,299|299|299|299|299,1573|1573|1573|1573|1573,329|329|329|329|329,11,30,30,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
16,3,2,"ROAD,",5,16,99999,1585,299,1692,334,1585|1585|1585|1585|1585,299|299|299|299|299,1692|1692|1692|1692|1692,334|334|334|334|334,12,35,35,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddress
17,3,3,VADODARA.,9,22,888888888,1700,298,1907,329,1700|1700|1700|1700|1700|1700|1700|1700|1700,298|298|298|298|298|298|298|298|298,1907|1907|1907|1907|1907|1907|1907|1907|1907,329|329|329|329|329|329|329|329|329,8,31,31,0,False,True,8,False,1,0,0,0,False,I-Invoice_VendorAddress
18,3,4,390,3,32,999,1916,299,2067,329,1916|1916|1916,299|299|299,2067|2067|2067,329|329|329,9,30,30,0,False,False,9,False,1,0,3,0,True,I-Invoice_VendorAddress
19,3,5,021.,4,36,9999,1916,299,2067,329,1916|1916|1916|1916,299|299|299|299,2067|2067|2067|2067,329|329|329|329,-151,30,30,0,False,True,9,False,1,0,3,0,True,I-Invoice_VendorAddress
20,3,6,-,1,41,9,2074,312,2087,323,2074,312,2087,323,7,11,11,0,False,True,9,True,1,0,0,0,False,O
21,3,7,CELL,4,43,9999,2097,299,2175,328,2097|2097|2097|2097,299|299|299|299,2175|2175|2175|2175,328|328|328|328,10,29,29,0,True,False,9,False,1,0,0,0,False,O
22,3,8,9825603682,10,48,9999999999,2232,298,2443,328,2232|2232|2232|2232|2232|2232|2232|2232|2232|2232,298|298|298|298|298|298|298|298|298|298,2443|2443|2443|2443|2443|2443|2443|2443|2443|2443,328|328|328|328|328|328|328|328|328|328,57,30,30,0,False,False,9,False,1,0,10,1,True,O
23,4,0,GSTIN,5,0,99999,203,366,316,398,203|203|203|203|203,366|366|366|366|366,316|316|316|316|316,398|398|398|398|398,0,32,32,0,True,False,9,False,1,0,0,0,False,O
24,4,1,:,1,6,9,370,374,380,398,370,374,380,398,54,24,24,0,False,True,9,True,1,0,0,1,False,O
25,4,2,24ACKPD9690H1ZO,15,8,666666666666666,440,366,810,399,440|440|440|440|440|440|440|440|440|440|440|440|440|440|440,366|366|366|366|366|366|366|366|366|366|366|366|366|366|366,810|810|810|810|810|810|810|810|810|810|810|810|810|810|810,399|399|399|399|399|399|399|399|399|399|399|399|399|399|399,60,33,33,0,False,False,6,False,1,0,7,2,False,O
26,4,3,TAX,3,24,999,2120,348,2244,399,2120|2120|2120,348|348|348,2244|2244|2244,399|399|399,1310,51,51,0,True,False,9,False,1,0,0,3,False,O
27,4,4,INVOICE,7,28,9999999,2297,348,2553,398,2297|2297|2297|2297|2297|2297|2297,348|348|348|348|348|348|348,2553|2553|2553|2553|2553|2553|2553,398|398|398|398|398|398|398,53,50,50,0,True,False,9,False,1,0,0,4,False,O
28,4,5,(,1,36,9,2573,342,2595,411,2573,342,2595,411,20,69,69,0,False,True,9,True,1,0,0,4,False,O
29,4,6,Duplicate,9,38,999999999,2629,345,2919,411,2629|2629|2629|2629|2629|2629|2629|2629|2629,345|345|345|345|345|345|345|345|345,2919|2919|2919|2919|2919|2919|2919|2919|2919,411|411|411|411|411|411|411|411|411,34,66,66,0,False,False,9,False,1,0,0,4,False,O
30,4,7,for,3,48,999,2935,345,3024,399,2935|2935|2935,345|345|345,3024|3024|3024,399|399|399,16,54,54,0,False,False,9,False,1,0,0,4,False,O
31,4,8,Recipient),10,52,9999999999,3042,344,3349,411,3042|3042|3042|3042|3042|3042|3042|3042|3042|3042,344|344|344|344|344|344|344|344|344|344,3349|3349|3349|3349|3349|3349|3349|3349|3349|3349,411|411|411|411|411|411|411|411|411|411,18,67,67,0,False,True,9,False,1,0,0,4,False,O
32,5,0,INVOICE,7,0,9999999,202,428,345,458,202|202|202|202|202|202|202,428|428|428|428|428|428|428,345|345|345|345|345|345|345,458|458|458|458|458|458|458,0,30,30,0,True,False,9,False,1,0,0,0,False,O
33,5,1,NO,2,8,88,355,429,405,459,355|355,429|429,405|405,459|459,10,30,30,0,True,False,8,False,1,0,0,0,False,O
34,5,2,ACS,3,11,999,723,427,984,463,723|723|723,427|427|427,984|984|984,463|463|463,318,36,36,0,True,False,9,False,1,0,0,1,False,B-Invoice_InvoiceId
35,5,3,/,1,14,9,723,427,984,463,723,427,984,463,-261,36,36,0,False,True,9,True,1,0,0,1,False,I-Invoice_InvoiceId
36,5,4,410,3,15,999,723,427,984,463,723|723|723,427|427|427,984|984|984,463|463|463,-261,36,36,0,False,False,9,False,1,0,3,1,True,I-Invoice_InvoiceId
37,5,5,/,1,18,9,723,427,984,463,723,427,984,463,-261,36,36,0,False,True,9,True,1,0,0,1,False,I-Invoice_InvoiceId
38,5,6,18-19,5,19,99999,723,427,984,463,723|723|723|723|723,427|427|427|427|427,984|984|984|984|984,463|463|463|463|463,-261,36,36,0,False,True,9,False,1,0,4,1,False,I-Invoice_InvoiceId
39,5,7,DATE,4,25,9999,1306,430,1399,459,1306|1306|1306|1306,430|430|430|430,1399|1399|1399|1399,459|459|459|459,322,29,29,0,True,False,9,False,1,0,0,2,False,O
40,5,8,28/01/2019.,11,30,99999999999,1538,426,1748,462,1538|1538|1538|1538|1538|1538|1538|1538|1538|1538|1538,426|426|426|426|426|426|426|426|426|426|426,1748|1748|1748|1748|1748|1748|1748|1748|1748|1748|1748,462|462|462|462|462|462|462|462|462|462|462,139,36,36,0,False,True,9,False,1,0,8,3,False,B-Invoice_InvoiceDate
41,5,9,Transport,9,42,999999999,1992,428,2164,464,1992|1992|1992|1992|1992|1992|1992|1992|1992,428|428|428|428|428|428|428|428|428,2164|2164|2164|2164|2164|2164|2164|2164|2164,464|464|464|464|464|464|464|464|464,244,36,36,0,False,False,9,False,1,0,0,4,False,O
42,5,10,Mode,4,52,9999,2173,427,2273,457,2173|2173|2173|2173,427|427|427|427,2273|2273|2273|2273,457|457|457|457,9,30,30,0,False,False,9,False,1,0,0,4,False,O
43,6,0,DELIVERY,8,0,99999999,202,478,366,508,202|202|202|202|202|202|202|202,478|478|478|478|478|478|478|478,366|366|366|366|366|366|366|366,508|508|508|508|508|508|508|508,0,30,30,0,True,False,9,False,1,0,0,0,False,O
44,6,1,CHALLAN,7,9,9999999,376,479,537,509,376|376|376|376|376|376|376,479|479|479|479|479|479|479,537|537|537|537|537|537|537,509|509|509|509|509|509|509,10,30,30,0,True,False,9,False,1,0,0,0,False,O
45,6,2,NO.,3,17,999,548,479,623,509,548|548|548,479|479|479,623|623|623,509|509|509,11,30,30,0,False,True,9,False,1,0,0,0,False,O
46,6,3,DATE,4,21,9999,1306,480,1399,509,1306|1306|1306|1306,480|480|480|480,1399|1399|1399|1399,509|509|509|509,683,29,29,0,True,False,9,False,1,0,0,1,False,O
47,6,4,Vehicle,7,26,9999999,1993,477,2119,508,1993|1993|1993|1993|1993|1993|1993,477|477|477|477|477|477|477,2119|2119|2119|2119|2119|2119|2119,508|508|508|508|508|508|508,594,31,31,0,False,False,9,False,1,0,0,2,False,O
48,6,5,Number,6,34,999999,2129,475,2274,510,2129|2129|2129|2129|2129|2129,475|475|475|475|475|475,2274|2274|2274|2274|2274|2274,510|510|510|510|510|510,10,35,35,0,False,False,9,False,1,0,0,2,False,O
49,7,0,REVERSE,7,0,9999999,202,538,352,567,202|202|202|202|202|202|202,538|538|538|538|538|538|538,352|352|352|352|352|352|352,567|567|567|567|567|567|567,0,29,29,0,True,False,9,False,1,0,0,0,False,O
50,7,1,CHARGE,6,8,999999,361,539,505,568,361|361|361|361|361|361,539|539|539|539|539|539,505|505|505|505|505|505,568|568|568|568|568|568,9,29,29,0,True,False,9,False,1,0,0,0,False,O
51,7,2,(Y,2,15,99,515,536,606,575,515|515,536|536,606|606,575|575,10,39,39,0,False,True,9,False,1,0,0,0,False,O
52,7,3,/,1,17,9,515,536,606,575,515,536,606,575,-91,39,39,0,False,True,9,True,1,0,0,0,False,O
53,7,4,N),2,18,99,515,536,606,575,515|515,536|536,606|606,575|575,-91,39,39,0,False,True,9,False,1,0,0,0,False,O
54,7,5,Date,4,21,9999,1993,537,2076,568,1993|1993|1993|1993,537|537|537|537,2076|2076|2076|2076,568|568|568|568,1387,31,31,0,False,False,9,False,1,0,0,1,False,O
55,7,6,of,2,26,99,2085,535,2122,567,2085|2085,535|535,2122|2122,567|567,9,32,32,0,False,False,9,False,1,0,0,1,False,O
56,7,7,Supply,6,29,999999,2129,536,2247,573,2129|2129|2129|2129|2129|2129,536|536|536|536|536|536,2247|2247|2247|2247|2247|2247,573|573|573|573|573|573,7,37,37,0,False,False,9,False,1,0,0,1,False,O
57,8,0,STATE,5,0,99999,201,588,308,617,201|201|201|201|201,588|588|588|588|588,308|308|308|308|308,617|617|617|617|617,0,29,29,0,True,False,9,False,1,0,0,0,False,O
58,8,1,GUJARAT,7,6,9999999,776,588,933,619,776|776|776|776|776|776|776,588|588|588|588|588|588|588,933|933|933|933|933|933|933,619|619|619|619|619|619|619,468,31,31,0,True,False,9,False,1,0,0,1,False,O
59,8,2,Place,5,14,99999,1994,586,2084,618,1994|1994|1994|1994|1994,586|586|586|586|586,2084|2084|2084|2084|2084,618|618|618|618|618,1061,32,32,0,False,False,9,False,1,0,0,2,False,O
60,8,3,of,2,20,99,2094,585,2131,617,2094|2094,585|585,2131|2131,617|617,10,32,32,0,False,False,9,False,1,0,0,2,False,O
61,8,4,Supply,6,23,999999,2138,586,2256,623,2138|2138|2138|2138|2138|2138,586|586|586|586|586|586,2256|2256|2256|2256|2256|2256,623|623|623|623|623|623,7,37,37,0,False,False,9,False,1,0,0,2,False,O
62,9,0,BILL,4,0,9999,946,644,1027,678,946|946|946|946,644|644|644|644,1027|1027|1027|1027,678|678|678|678,0,34,34,0,True,False,9,False,1,0,0,0,False,O
63,9,1,TO,2,5,99,1037,643,1095,678,1037|1037,643|643,1095|1095,678|678,10,35,35,0,True,False,9,False,1,0,0,0,False,O
64,9,2,PARTY,5,8,99999,1107,643,1240,677,1107|1107|1107|1107|1107,643|643|643|643|643,1240|1240|1240|1240|1240,677|677|677|677|677,12,34,34,0,True,False,9,False,1,0,0,0,False,O
65,9,3,SHIP,4,14,9999,2586,642,2680,677,2586|2586|2586|2586,642|642|642|642,2680|2680|2680|2680,677|677|677|677,1346,35,35,0,True,False,9,False,1,0,0,1,False,O
66,9,4,TO,2,19,99,2689,640,2750,677,2689|2689,640|640,2750|2750,677|677,9,37,37,0,True,False,9,False,1,0,0,1,False,O
67,9,5,PARTY,5,22,99999,2762,641,2893,677,2762|2762|2762|2762|2762,641|641|641|641|641,2893|2893|2893|2893|2893,677|677|677|677|677,12,36,36,0,True,False,9,False,1,0,0,1,False,O
68,10,0,NAME,4,0,9999,200,702,309,731,200|200|200|200,702|702|702|702,309|309|309|309,731|731|731|731,0,29,29,0,True,False,9,False,1,0,0,0,False,O
69,10,1,Axalta,6,5,999999,409,700,515,731,409|409|409|409|409|409,700|700|700|700|700|700,515|515|515|515|515|515,731|731|731|731|731|731,100,31,31,0,False,False,9,False,1,0,0,1,False,B-Invoice_BillingAddressRecipient
70,10,2,Coating,7,12,9999999,525,701,653,737,525|525|525|525|525|525|525,701|701|701|701|701|701|701,653|653|653|653|653|653|653,737|737|737|737|737|737|737,10,36,36,0,False,False,9,False,1,0,0,1,False,I-Invoice_BillingAddressRecipient
71,10,3,Systems,7,20,9999999,663,701,801,738,663|663|663|663|663|663|663,701|701|701|701|701|701|701,801|801|801|801|801|801|801,738|738|738|738|738|738|738,10,37,37,0,False,False,9,False,1,0,0,1,False,I-Invoice_BillingAddressRecipient
72,10,4,India,5,28,99999,812,701,894,731,812|812|812|812|812,701|701|701|701|701,894|894|894|894|894,731|731|731|731|731,11,30,30,0,False,False,9,False,1,0,0,1,False,I-Invoice_BillingAddressRecipient
73,10,5,Private,7,34,9999999,906,701,1021,732,906|906|906|906|906|906|906,701|701|701|701|701|701|701,1021|1021|1021|1021|1021|1021|1021,732|732|732|732|732|732|732,12,31,31,0,False,False,9,False,1,0,0,1,False,I-Invoice_BillingAddressRecipient
74,10,6,Limited.,8,42,99999999,1033,700,1166,732,1033|1033|1033|1033|1033|1033|1033|1033,700|700|700|700|700|700|700|700,1166|1166|1166|1166|1166|1166|1166|1166,732|732|732|732|732|732|732|732,12,32,32,0,False,True,9,False,1,0,0,1,False,I-Invoice_BillingAddressRecipient
75,10,7,NAME,4,51,9999,1995,701,2103,731,1995|1995|1995|1995,701|701|701|701,2103|2103|2103|2103,731|731|731|731,829,30,30,0,True,False,9,False,1,0,0,2,False,O
76,11,0,ADDRESS,7,0,9999999,199,752,360,781,199|199|199|199|199|199|199,752|752|752|752|752|752|752,360|360|360|360|360|360|360,781|781|781|781|781|781|781,0,29,29,0,True,False,9,False,1,0,0,0,False,O
77,11,1,AXALTA,6,8,999999,408,751,540,781,408|408|408|408|408|408,751|751|751|751|751|751,540|540|540|540|540|540,781|781|781|781|781|781,48,30,30,0,True,False,9,False,1,0,0,0,False,B-Invoice_BillingAddress
78,11,2,SAVLI,5,15,99999,549,752,654,781,549|549|549|549|549,752|752|752|752|752,654|654|654|654|654,781|781|781|781|781,9,29,29,0,True,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
79,11,3,:,1,20,9,549,752,654,781,549,752,654,781,-105,29,29,0,False,True,9,True,1,0,0,1,False,I-Invoice_BillingAddress
80,11,4,ADDRESS,7,22,9999999,1993,752,2155,782,1993|1993|1993|1993|1993|1993|1993,752|752|752|752|752|752|752,2155|2155|2155|2155|2155|2155|2155,782|782|782|782|782|782|782,1339,30,30,0,True,False,9,False,1,0,0,2,False,O
81,12,0,Plot,4,0,9999,409,800,475,832,409|409|409|409,800|800|800|800,475|475|475|475,832|832|832|832,0,32,32,0,False,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
82,12,1,No,2,5,99,486,802,533,832,486|486,802|802,533|533,832|832,11,30,30,0,False,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
83,12,2,"KV-1/2,Savli",12,8,999999999999,544,799,746,836,544|544|544|544|544|544|544|544|544|544|544|544,799|799|799|799|799|799|799|799|799|799|799|799,746|746|746|746|746|746|746|746|746|746|746|746,836|836|836|836|836|836|836|836|836|836|836|836,11,37,37,0,False,True,9,False,1,0,2,0,False,I-Invoice_BillingAddress
84,12,3,"G.I.D.C.,",9,21,999999999,758,801,893,837,758|758|758|758|758|758|758|758|758,801|801|801|801|801|801|801|801|801,893|893|893|893|893|893|893|893|893,837|837|837|837|837|837|837|837|837,12,36,36,0,False,True,9,False,1,0,0,0,False,I-Invoice_BillingAddress
85,13,0,Village,7,0,9999999,408,851,521,889,408|408|408|408|408|408|408,851|851|851|851|851|851|851,521|521|521|521|521|521|521,889|889|889|889|889|889|889,0,38,38,0,False,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
86,13,1,"Alindra,",8,8,99999999,530,851,661,888,530|530|530|530|530|530|530|530,851|851|851|851|851|851|851|851,661|661|661|661|661|661|661|661,888|888|888|888|888|888|888|888,9,37,37,0,False,True,9,False,1,0,0,0,False,I-Invoice_BillingAddress
87,14,0,Vadodara,8,0,99999999,407,901,584,933,407|407|407|407|407|407|407|407,901|901|901|901|901|901|901|901,584|584|584|584|584|584|584|584,933|933|933|933|933|933|933|933,0,32,32,0,False,False,9,False,1,0,0,0,False,I-Invoice_BillingAddress
88,14,1,891,3,9,555,613,902,750,934,613|613|613,902|902|902,750|750|750,934|934|934,29,32,32,0,False,False,5,False,1,0,3,1,True,I-Invoice_BillingAddress
89,14,2,775.,4,13,5555,613,902,750,934,613|613|613|613,902|902|902|902,750|750|750|750,934|934|934|934,-137,32,32,0,False,True,5,False,1,0,3,1,True,I-Invoice_BillingAddress
90,15,0,GST,3,0,999,199,963,267,992,199|199|199,963|963|963,267|267|267,992|992|992,0,29,29,0,True,False,9,False,1,0,0,0,False,O
91,15,1,NO.,3,4,999,285,964,348,993,285|285|285,964|964|964,348|348|348,993|993|993,18,29,29,0,False,True,9,False,1,0,0,0,False,O
92,15,2,24AAECD2713N1ZQ,15,8,999999999999999,408,962,748,996,408|408|408|408|408|408|408|408|408|408|408|408|408|408|408,962|962|962|962|962|962|962|962|962|962|962|962|962|962|962,748|748|748|748|748|748|748|748|748|748|748|748|748|748|748,996|996|996|996|996|996|996|996|996|996|996|996|996|996|996,60,34,34,0,False,False,9,False,1,0,7,0,False,B-Invoice_CustomerTaxId
93,15,3,GST,3,24,999,1995,964,2062,992,1995|1995|1995,964|964|964,2062|2062|2062,992|992|992,1247,28,28,0,True,False,9,False,1,0,0,1,False,O
94,15,4,IN,2,28,99,2072,963,2108,992,2072|2072,963|963,2108|2108,992|992,10,29,29,0,True,False,9,False,1,0,0,1,False,O
95,16,0,ORDER,5,0,99999,198,1022,320,1052,198|198|198|198|198,1022|1022|1022|1022|1022,320|320|320|320|320,1052|1052|1052|1052|1052,0,30,30,0,True,False,9,False,1,0,0,0,False,O
96,16,1,NO.,3,6,999,330,1022,393,1052,330|330|330,1022|1022|1022,393|393|393,1052|1052|1052,10,30,30,0,False,True,9,False,1,0,0,0,False,O
97,16,2,4700031156,10,10,9999999999,406,1021,622,1052,406|406|406|406|406|406|406|406|406|406,1021|1021|1021|1021|1021|1021|1021|1021|1021|1021,622|622|622|622|622|622|622|622|622|622,1052|1052|1052|1052|1052|1052|1052|1052|1052|1052,13,31,31,0,False,False,9,False,1,0,10,0,True,O
