,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,language,IsRightToLeftWord,Label,Score,HG,VG
0,0,0,0,0,1,0,C.H.,4,0,9999,388,206,535,272,388|388|388|388,206|206|206|206,535|535|535|535,272|272|272|272,0,66,66,0,False,True,9,False,1,0,0,0,False,English,False,B-Invoice_VendorName,100.0,2,2
1,1,1,1,1,1,1,ROBINSON,8,5,99999999,563,206,979,272,563|563|563|563|563|563|563|563,206|206|206|206|206|206|206|206,979|979|979|979|979|979|979|979,272|272|272|272|272|272|272|272,28,66,66,0,True,False,9,False,1,0,0,0,False,English,False,I-Invoice_VendorName,100.0,2,2
2,2,2,2,2,1,2,INVOICE,7,14,9999999,1948,199,2304,267,1948|1948|1948|1948|1948|1948|1948,199|199|199|199|199|199|199,2304|2304|2304|2304|2304|2304|2304,267|267|267|267|267|267|267,969,68,68,0,True,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
3,3,3,3,3,2,0,Bill,4,0,9999,258,531,306,556,258|258|258|258,531|531|531|531,306|306|306|306,556|556|556|556,0,25,25,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
4,4,4,4,4,2,1,To,2,5,99,315,531,360,557,315|315,531|531,360|360,557|557,9,26,26,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
5,5,5,5,5,2,2,:,1,7,9,315,531,360,557,315,531,360,557,-45,26,26,0,False,True,9,True,1,0,0,1,False,English,False,O,100.0,0,0
6,6,6,6,6,2,3,C824085,7,9,9999999,377,529,504,558,377|377|377|377|377|377|377,529|529|529|529|529|529|529,504|504|504|504|504|504|504,558|558|558|558|558|558|558,17,29,29,0,False,False,9,False,1,0,6,2,False,English,False,B-Invoice_Bill_No,100.0,7,7
7,7,7,7,7,2,4,5169190,7,17,9999999,1085,544,1285,586,1085|1085|1085|1085|1085|1085|1085,544|544|544|544|544|544|544,1285|1285|1285|1285|1285|1285|1285,586|586|586|586|586|586|586,581,42,42,0,False,False,9,False,1,0,7,3,True,English,False,O,100.0,0,0
8,8,8,8,8,2,5,Amount,6,25,999999,1650,538,1781,567,1650|1650|1650|1650|1650|1650,538|538|538|538|538|538,1781|1781|1781|1781|1781|1781,567|567|567|567|567|567,365,29,29,0,False,False,9,False,1,0,0,4,False,English,False,O,100.0,0,0
9,9,9,9,9,2,6,Due,3,32,999,1790,538,1864,567,1790|1790|1790,538|538|538,1864|1864|1864,567|567|567,9,29,29,0,False,False,9,False,1,0,0,4,False,English,False,O,100.0,0,0
10,10,10,10,10,2,7,:,1,35,9,1790,538,1864,567,1790,538,1864,567,-74,29,29,0,False,True,9,True,1,0,0,5,False,English,False,O,100.0,0,0
11,11,11,11,11,2,8,"2,624.00",8,37,99999999,2047,538,2179,571,2047|2047|2047|2047|2047|2047|2047|2047,538|538|538|538|538|538|538|538,2179|2179|2179|2179|2179|2179|2179|2179,571|571|571|571|571|571|571|571,183,33,33,0,False,True,9,False,1,0,6,6,True,English,False,B-Invoice_AmountDue,100.0,0,0
12,12,12,12,12,2,9,USD,3,46,999,2190,542,2252,567,2190|2190|2190,542|542|542,2252|2252|2252,567|567|567,11,25,25,0,True,False,9,False,1,0,0,6,False,English,False,I-Invoice_AmountDue,100.0,0,0
13,13,13,13,13,3,0,Payment,7,0,9999999,1653,586,1795,621,1653|1653|1653|1653|1653|1653|1653,586|586|586|586|586|586|586,1795|1795|1795|1795|1795|1795|1795,621|621|621|621|621|621|621,0,35,35,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
14,14,14,14,14,3,1,Due,3,8,999,1805,586,1878,614,1805|1805|1805,586|586|586,1878|1878|1878,614|614|614,10,28,28,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
15,15,15,15,15,3,2,:,1,11,9,1805,586,1878,614,1805,586,1878,614,-73,28,28,0,False,True,9,True,1,0,0,1,False,English,False,O,100.0,0,0
16,16,16,16,16,3,3,December,8,13,99999999,1944,585,2110,614,1944|1944|1944|1944|1944|1944|1944|1944,585|585|585|585|585|585|585|585,2110|2110|2110|2110|2110|2110|2110|2110,614|614|614|614|614|614|614|614,66,29,29,0,False,False,9,False,1,0,0,2,False,English,False,B-Invoice_DueDate,100.0,0,0
