,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
0,1,0,TAX,3,0,999,1134,102,1231,145,1134|1134|1134,102|102|102,1231|1231|1231,145|145|145,0,43,43,0,True,False,9,False,1,0,0,0,False,O
1,1,1,INVOICE,7,4,9999999,1243,103,1444,146,1243|1243|1243|1243|1243|1243|1243,103|103|103|103|103|103|103,1444|1444|1444|1444|1444|1444|1444,146|146|146|146|146|146|146,12,43,43,0,True,False,9,False,1,0,0,0,False,O
2,1,2,(DUPLICATE,10,12,9999999999,1749,99,1974,142,1749|1749|1749|1749|1749|1749|1749|1749|1749|1749,99|99|99|99|99|99|99|99|99|99,1974|1974|1974|1974|1974|1974|1974|1974|1974|1974,142|142|142|142|142|142|142|142|142|142,305,43,43,0,False,True,9,False,1,0,0,1,False,O
3,1,3,FOR,3,23,999,1982,102,2064,133,1982|1982|1982,102|102|102,2064|2064|2064,133|133|133,8,31,31,0,True,False,9,False,1,0,0,1,False,O
4,1,4,TRANSPORTER),12,27,999999999999,2076,99,2368,142,2076|2076|2076|2076|2076|2076|2076|2076|2076|2076|2076|2076,99|99|99|99|99|99|99|99|99|99|99|99,2368|2368|2368|2368|2368|2368|2368|2368|2368|2368|2368|2368,142|142|142|142|142|142|142|142|142|142|142|142,12,43,43,0,False,True,9,False,1,0,0,1,False,O
5,2,0,079418,6,0,999999,2053,137,2321,206,2053|2053|2053|2053|2053|2053,137|137|137|137|137|137,2321|2321|2321|2321|2321|2321,206|206|206|206|206|206,0,69,69,0,False,False,9,False,1,0,6,0,True,O
6,3,0,NS,2,0,99,228,214,296,253,228|228,214|214,296|296,253|253,0,39,39,0,True,False,9,False,1,0,0,0,False,B-Invoice_VendorName
7,3,1,PACKAGING,9,3,999999999,308,216,558,253,308|308|308|308|308|308|308|308|308,216|216|216|216|216|216|216|216|216,558|558|558|558|558|558|558|558|558,253|253|253|253|253|253|253|253|253,12,37,37,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorName
8,3,2,Invoice,7,13,9999999,1324,211,1439,241,1324|1324|1324|1324|1324|1324|1324,211|211|211|211|211|211|211,1439|1439|1439|1439|1439|1439|1439,241|241|241|241|241|241|241,766,30,30,0,False,False,9,False,1,0,0,1,False,O
9,3,3,No.,3,21,999,1451,212,1506,242,1451|1451|1451,212|212|212,1506|1506|1506,242|242|242,12,30,30,0,False,True,9,False,1,0,0,1,False,O
10,3,4,e-Way,5,25,99999,1613,211,1717,255,1613|1613|1613|1613|1613,211|211|211|211|211,1717|1717|1717|1717|1717,255|255|255|255|255,107,44,44,0,False,True,9,False,1,0,0,2,False,O
11,3,5,Bill,4,31,9999,1725,212,1772,245,1725|1725|1725|1725,212|212|212|212,1772|1772|1772|1772,245|245|245|245,8,33,33,0,False,False,9,False,1,0,0,2,False,O
12,3,6,No.,3,36,999,1784,213,1836,246,1784|1784|1784,213|213|213,1836|1836|1836,246|246|246,12,33,33,0,False,True,9,False,1,0,0,2,False,O
13,3,7,Dated,5,40,99999,1862,212,1962,244,1862|1862|1862|1862|1862,212|212|212|212|212,1962|1962|1962|1962|1962,244|244|244|244|244,26,32,32,0,False,False,9,False,1,0,0,2,False,O
14,4,0,PLOT,4,0,9999,230,263,338,298,230|230|230|230,263|263|263|263,338|338|338|338,298|298|298|298,0,35,35,0,True,False,9,False,1,0,0,0,False,B-Invoice_VendorAddressRecipient
15,4,1,NO,2,5,99,348,265,420,299,348|348,265|265,420|420,299|299,10,34,34,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
16,4,2,:,1,7,9,348,265,420,299,348,265,420,299,-72,34,34,0,False,True,9,True,1,0,0,1,False,I-Invoice_VendorAddressRecipient
17,4,3,13,2,9,99,436,265,479,299,436|436,265|265,479|479,299|299,16,34,34,0,False,False,9,False,1,0,2,2,True,I-Invoice_VendorAddressRecipient
18,4,4,ROAD,4,12,9999,503,265,625,299,503|503|503|503,265|265|265|265,625|625|625|625,299|299|299|299,24,34,34,0,True,False,9,False,1,0,0,2,False,I-Invoice_VendorAddressRecipient
19,4,5,A,1,17,9,633,266,697,300,633,266,697,300,8,34,34,0,True,False,9,False,1,0,0,2,False,I-Invoice_VendorAddressRecipient
20,4,6,/,1,18,9,633,266,697,300,633,266,697,300,-64,34,34,0,False,True,9,True,1,0,0,2,False,I-Invoice_VendorAddressRecipient
21,4,7,4,1,19,9,633,266,697,300,633,266,697,300,-64,34,34,0,False,False,9,False,1,0,1,2,True,I-Invoice_VendorAddressRecipient
22,4,8,SLG,3,21,999,1322,268,1564,304,1322|1322|1322,268|268|268,1564|1564|1564,304|304|304,625,36,36,0,True,False,9,False,1,0,0,3,False,B-Invoice_InvoiceId
23,4,9,/,1,24,9,1322,268,1564,304,1322,268,1564,304,-242,36,36,0,False,True,9,True,1,0,0,3,False,I-Invoice_InvoiceId
24,4,10,767,3,25,999,1322,268,1564,304,1322|1322|1322,268|268|268,1564|1564|1564,304|304|304,-242,36,36,0,False,False,9,False,1,0,3,3,True,I-Invoice_InvoiceId
25,4,11,/,1,28,9,1322,268,1564,304,1322,268,1564,304,-242,36,36,0,False,True,9,True,1,0,0,3,False,I-Invoice_InvoiceId
26,4,12,19-20,5,29,99999,1322,268,1564,304,1322|1322|1322|1322|1322,268|268|268|268|268,1564|1564|1564|1564|1564,304|304|304|304|304,-242,36,36,0,False,True,9,False,1,0,4,3,False,I-Invoice_InvoiceId
27,4,13,6311,4,35,9999,1615,269,1838,305,1615|1615|1615|1615,269|269|269|269,1838|1838|1838|1838,305|305|305|305,51,36,36,0,False,False,9,False,1,0,4,4,True,O
28,4,14,2316,4,40,9999,1615,269,1838,305,1615|1615|1615|1615,269|269|269|269,1838|1838|1838|1838,305|305|305|305,-223,36,36,0,False,False,9,False,1,0,4,4,True,O
29,4,15,4809,4,45,9999,1615,269,1838,305,1615|1615|1615|1615,269|269|269|269,1838|1838|1838|1838,305|305|305|305,-223,36,36,0,False,False,9,False,1,0,4,4,True,O
